symbol,company_name
CAPLIPOINT,CAPLIPOINT
CAPTRUST,CAPTRUST
CARBORUNIV,CARBORUNIV
CARERATING,CARERATING
CARRARO,CARRARO
CARTRADE,CARTRADE
CARYSIL,CARYSIL
CASHIETF,CASHIETF
CASTROLIND,CASTROLIND
CCHHL,CCHHL
CCL,CCL
CDSL,CDSL
CEATLTD,CEATLTD
CEIGALL,CEIGALL
CELEBRITY,CELEBRITY
CELLO,CELLO
CEMPRO,CEMPRO
CENTENKA,CENTENKA
CENTEXT,CENTEXT
CENTRALBK,CENTRALBK
CENTRUM,CENTRUM
CENTUM,CENTUM
CENTURYPLY,CENTURYPLY
CERA,CERA
CESC,CESC
CEWATER,CEWATER
CGCL,CGCL
CGPOWER,CGPOWER
CHALET,CHALET
CHAMBLFERT,CHAMBLFERT
CHEMBOND,CHEMBOND
CHEMBONDCH,CHEMBONDCH
CHEMCON,CHEMCON
CHEMFAB,CHEMFAB
CHEMICAL,CHEMICAL
CHEMPLASTS,CHEMPLASTS
CHENNPETRO,CHENNPETRO
CHEVIOT,CHEVIOT
CHOICEGOLD,CHOICEGOLD
CHOICEIN,CHOICEIN
CHOLAFIN,CHOLAFIN
CHOLAHLDNG,CHOLAHLDNG
CIEINDIA,CIEINDIA
CIFL,CIFL
CIGNITITEC,CIGNITITEC
CINELINE,CINELINE
CINEVISTA,CINEVISTA
CIPLA,CIPLA
CLEAN,CLEAN
CLEDUCATE,CLEDUCATE
CLSEL,CLSEL
CMSINFO,CMSINFO
CNL,CNL
COALINDIA,COALINDIA
COCHINSHIP,COCHINSHIP
COFFEEDAY,COFFEEDAY
COFORGE,COFORGE
COHANCE,COHANCE
COLPAL,COLPAL
COMMOIETF,COMMOIETF
COMPUSOFT,COMPUSOFT
CONCOR,CONCOR
CONCORDBIO,CONCORDBIO
CONFIPET,CONFIPET
CONS,CONS
CONSOFINVT,CONSOFINVT
CONSUMBEES,CONSUMBEES
CONSUMER,CONSUMER
CONSUMIETF,CONSUMIETF
CONTROLPR,CONTROLPR
CORALFINAC,CORALFINAC
CORDSCABLE,CORDSCABLE
COROMANDEL,COROMANDEL
CORONA,CORONA
COSMOFIRST,COSMOFIRST
COUNCODOS,COUNCODOS
CPCAP,CPCAP
CPEDU,CPEDU
CPPLUS,CPPLUS
CPSEETF,CPSEETF
CRAFTSMAN,CRAFTSMAN
CRAMC,CRAMC
CREATIVEYE,CREATIVEYE
CREDITACC,CREDITACC
CREST,CREST
CRISIL,CRISIL
CRIZAC,CRIZAC
CROMPTON,CROMPTON
CROWN,CROWN
CSBBANK,CSBBANK
CSLFINANCE,CSLFINANCE
CTE,CTE
CUB,CUB
CUBEXTUB,CUBEXTUB
CUMMINSIND,CUMMINSIND
CUPID,CUPID
CYBERMEDIA,CYBERMEDIA
CYBERTECH,CYBERTECH
CYIENT,CYIENT
CYIENTDLM,CYIENTDLM
DABUR,DABUR
DALBHARAT,DALBHARAT
DALMIASUG,DALMIASUG
DAMCAPITAL,DAMCAPITAL
DAMODARIND,DAMODARIND
DANGEE,DANGEE
DATAMATICS,DATAMATICS
DATAPATTNS,DATAPATTNS
DAVANGERE,DAVANGERE
DBCORP,DBCORP
DBEIL,DBEIL
DBL,DBL
DBOL,DBOL
DBREALTY,DBREALTY
DBSTOCKBRO,DBSTOCKBRO
DCAL,DCAL
DCBBANK,DCBBANK
DCI,DCI
DCM,DCM
DCMFINSERV,DCMFINSERV
DCMNVL,DCMNVL
DCMSHRIRAM,DCMSHRIRAM
DCMSRIND,DCMSRIND
DCW,DCW
DCXINDIA,DCXINDIA
DDEVPLSTIK,DDEVPLSTIK
DECCANCE,DECCANCE
DEEDEV,DEEDEV
DEEPAKFERT,DEEPAKFERT
DEEPAKNTR,DEEPAKNTR
DEEPINDS,DEEPINDS
DELHIVERY,DELHIVERY
DELPHIFX,DELPHIFX
DELTACORP,DELTACORP
DELTAMAGNT,DELTAMAGNT
DEN,DEN
DENORA,DENORA
DENTA,DENTA
DEVIT,DEVIT
DEVX,DEVX
