Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
05 FEB 2026,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,05 FEB 2026,              10.00,          24550000,            176.80,     4340440000.00 
05 FEB 2026,ACC,EQ,ACC LIMITED              ,Listed    ,05 FEB 2026,              10.00,         187787263,           1676.20,   314769010240.60       
05 FEB 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,05 FEB 2026,              10.00,          14926261,           1365.30,    20378824143.30   
05 FEB 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,05 FEB 2026,              10.00,          23989020,            322.70,     7741256754.00 
05 FEB 2026,ACCORD,SM,ACCORD SYNERGY LIMITED   ,Listed    ,03 FEB 2026,              10.00,           3472000,             28.00,       97216000.00    
05 FEB 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,05 FEB 2026,              10.00,          11116000,             69.60,      773673600.00     
05 FEB 2026,ACCURACY,EQ,ACCURACY SHIPPING LIMITED,Listed    ,05 FEB 2026,               1.00,         150560000,              5.20,      781406400.00  
05 FEB 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,05 FEB 2026,               2.00,         119083196,            895.20,   106603277059.20       
05 FEB 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,05 FEB 2026,              10.00,          10200000,             19.80,      201756000.00  
05 FEB 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,05 FEB 2026,               2.00,         123458394,            596.15,    73599721583.10       
05 FEB 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,05 FEB 2026,              10.00,          92172140,             58.65,     5404052568.20       
05 FEB 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,05 FEB 2026,               2.00,         605971804,            227.10,   137622256406.45 
05 FEB 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,29 JAN 2026,               5.00,          15015016,            170.00,     2552552720.00
05 FEB 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,05 FEB 2026,               5.00,          81871122,           1980.50,   162145757121.00   
